YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W44,IT,3632712.0,,,22,,10,879,18080,1547,0,0,0,ITC1,ALL,COMBA.1,59030133
2022-W44,IT,3632712.0,,,34,,25,17,63,10,0,0,0,ITC1,ALL,COM,59030133
2022-W44,IT,49811219.0,0.0,,0,,2,0,2,0,0,0,0,IT,ALL,MOD,59030133
2022-W44,IT,49811219.0,0.0,,1,,1,164,2364,102,0,0,0,IT,ALL,MODBA.1,59030133
2022-W44,IT,49811219.0,0.0,,0,,1,0,0,0,0,0,0,IT,ALL,JANSS,59030133
2022-W44,IT,49811219.0,0.0,,225,,140,14251,161954,13428,0,0,0,IT,ALL,COMBA.4-5,59030133
2022-W20,IT,49811219.0,0.0,,97,,260,23,0,1,0,0,0,IT,ALL,NVXD,59030133
2022-W20,IT,49811219.0,0.0,,0,,2,7,1,0,0,0,0,IT,ALL,JANSS,59030133
2022-W20,IT,49811219.0,7.0,,1365,,3406,37774,118048,7,0,0,0,IT,ALL,COM,59030133
2022-W21,IT,1377717.0,,,0,,9,19,8,0,0,0,0,ITG2,ALL,MOD,59030133
2022-W21,IT,1377717.0,,,2,,6,0,0,0,0,0,0,ITG2,ALL,NVXD,59030133
2022-W21,IT,1377717.0,,,16,,51,805,1453,1,0,0,0,ITG2,ALL,COM,59030133
2022-W21,IT,4030695.0,,,9,,83,603,519,0,0,0,0,ITG1,ALL,MOD,59030133
2022-W21,IT,4030695.0,,,2,,11,0,0,0,0,0,0,ITG1,ALL,NVXD,59030133
2022-W21,IT,4030695.0,,,105,,342,2622,3028,0,0,0,0,ITG1,ALL,COM,59030133
2022-W21,IT,1558662.0,,,1,,25,170,146,1,0,0,0,ITF6,ALL,MOD,59030133
2022-W21,IT,1558662.0,,,0,,7,0,0,0,0,0,0,ITF6,ALL,NVXD,59030133
2022-W21,IT,1558662.0,,,23,,138,941,1076,2,0,0,0,ITF6,ALL,COM,59030133
2022-W21,IT,463918.0,,,6,,2,22,48,0,0,0,0,ITF5,ALL,MOD,59030133
2022-W21,IT,463918.0,,,1,,0,0,0,0,0,0,0,ITF5,ALL,NVXD,59030133
2022-W21,IT,463918.0,,,11,,21,251,833,0,0,0,0,ITF5,ALL,COM,59030133
2022-W21,IT,3312433.0,,,4,,32,303,352,0,0,0,0,ITF4,ALL,MOD,59030133
2022-W21,IT,3312433.0,,,1,,4,1,0,0,0,0,0,ITF4,ALL,NVXD,59030133
2022-W21,IT,3312433.0,,,52,,159,1656,6759,0,0,0,0,ITF4,ALL,COM,59030133
2022-W21,IT,4645744.0,,,13,,119,627,558,0,0,0,0,ITF3,ALL,MOD,59030133
2022-W21,IT,4645744.0,,,1,,2,0,0,0,0,0,0,ITF3,ALL,NVXD,59030133
2022-W21,IT,4645744.0,,,90,,307,2546,4314,0,0,0,0,ITF3,ALL,COM,59030133
2022-W21,IT,252530.0,,,0,,13,16,23,0,0,0,0,ITF2,ALL,MOD,59030133
2022-W21,IT,252530.0,,,3,,11,138,640,0,0,0,0,ITF2,ALL,COM,59030133
2022-W21,IT,1087183.0,,,7,,12,163,161,0,0,0,0,ITF1,ALL,MOD,59030133
2022-W21,IT,1087183.0,,,5,,4,0,0,0,0,0,0,ITF1,ALL,NVXD,59030133
2022-W21,IT,1087183.0,,,14,,59,696,1334,0,0,0,0,ITF1,ALL,COM,59030133
2022-W21,IT,4815838.0,,,48,,94,1532,2224,0,0,0,0,ITI4,ALL,MOD,59030133
